"Fecha","Mes_V","Dia_V","Vendedor","Cliente","Marca","Modelo","Anio","Precio_USD","Porciento_Comision","Comision_USD","Cant_Cuotas","Cuotas_pagadas","Tipo_cliente"
"7/2/2022",7,2,"David Diaz","Marc Caldwell","Nissan","Corolla",2021,21224,0.093014227,1974.13,1,1,0
"12/16/2022",12,16,"Brian Moran","Edgar Smith","Nissan","Corolla",2011,29018,0.145968717,4235.72,1,1,0
"3/13/2022",3,13,"Amanda Butler","Carrie Hudson","Toyota","F-150",2016,45367,0.081734072,3708.03,1,1,0
"8/17/2022",8,17,"Jacob Bishop","Colleen Fischer","Chevrolet","Altima",2021,17832,0.051852876,924.64,1,1,0
"1/3/2022",1,3,"Kimberly Maldonado","Kristine Hernandez","Ford","Civic",2014,39908,0.108985073,4349.38,1,1,0
"11/30/2022",11,30,"Tara Hubbard","Virginia Joyce","Toyota","Corolla",2016,14609,0.091409362,1335.4,1,1,0
"4/13/2022",4,13,"Ashley Ramos","Carlos Fields","Nissan","Altima",2022,13508,0.146756353,1982.38,1,1,0
"12/24/2022",12,24,"Patrick Harris","Christie Odonnell","Chevrolet","F-150",2022,13280,0.122885977,1631.93,1,1,0
"2/11/2022",2,11,"Eric Lopez","Linda Conrad","Nissan","Altima",2019,46164,0.144673804,6678.72,1,1,0
"8/10/2022",8,10,"Jacob Bishop","Randall Thompson","Ford","F-150",2013,14744,0.085092622,1254.61,3,3,0
"5/20/2022",5,20,"Michael Walton","Carol Turner","Ford","Civic",2014,27999,0.09029834,2528.26,1,1,0
"7/19/2022",7,19,"John Newton","James Velazquez","Honda","Corolla",2010,24327,0.095457332,2322.19,1,1,0
"1/20/2022",1,20,"Kristen Martinez","Joseph Marquez","Honda","Silverado",2015,35989,0.105519996,3797.56,1,1,0
"4/19/2022",4,19,"Kimberly Maldonado","Courtney Miller","Nissan","Silverado",2017,21618,0.145337945,3141.92,1,1,0
"10/7/2022",10,7,"Tara Hubbard","Audrey Perry","Toyota","Corolla",2022,26862,0.09513501,2555.52,1,1,0
"11/18/2022",11,18,"Heather Davidson","Tammy Wood","Chevrolet","F-150",2010,36750,0.102445532,3764.87,1,1,0
"2/1/2022",2,1,"Betty Young","Jeffrey Gillespie","Honda","Civic",2020,19526,0.128314718,2505.47,10,4,1
"1/24/2022",1,24,"Chad Davis","Jennifer Cohen","Chevrolet","F-150",2019,26875,0.115654698,3108.22,3,3,0
"6/4/2022",6,4,"Lauren Hernandez","Sharon Brooks","Ford","Civic",2019,10371,0.104990942,1088.86,1,1,0
"1/6/2022",1,6,"David Diaz","Haley Sanders","Nissan","Altima",2019,13649,0.123331663,1683.35,1,1,0
"10/4/2022",10,4,"Brian Moran","Denise Carter","Chevrolet","F-150",2017,29518,0.072624228,2143.72,1,1,0
"1/3/2022",1,3,"Amanda Butler","Claudia Ali","Toyota","Altima",2022,43019,0.146540852,6304.04,1,1,0
"11/16/2022",11,16,"Jacob Bishop","Lori Byrd","Ford","Altima",2022,33493,0.146898115,4920.06,1,1,0
"4/3/2022",4,3,"Patricia Reynolds","Michael Lewis","Chevrolet","Altima",2017,26262,0.123232015,3236.32,1,1,0
"8/25/2022",8,25,"Michelle Gonzalez","Debra Hudson","Toyota","Altima",2015,18282,0.148180712,2709.04,1,1,0
"4/12/2022",4,12,"Jennifer Morris","Anthony Glover","Honda","F-150",2015,48916,0.099833576,4883.46,12,2,1
"4/1/2022",4,1,"Jeremiah Thompson","Toni Acosta","Toyota","Civic",2016,48163,0.131807447,6348.24,1,1,0
"8/8/2022",8,8,"Matthew White","Brian Lamb","Nissan","Civic",2016,45824,0.105823117,4849.24,1,1,0
"2/19/2022",2,19,"John Newton","Jeremy Jones","Nissan","Civic",2018,16314,0.149343526,2436.39,1,1,0
"5/10/2022",5,10,"Kristen Martinez","Brandon Kim","Chevrolet","Silverado",2016,19018,0.067879558,1290.93,1,1,0
"5/14/2022",5,14,"Kimberly Maldonado","Shannon Sutton","Honda","Altima",2021,27067,0.104673188,2833.19,1,1,0
"10/16/2022",10,16,"Jacob Bishop","Mr. Kyle Patrick MD","Honda","Civic",2022,31238,0.098555281,3078.67,1,1,0
"2/1/2022",2,1,"Michael Walton","Damon Baker","Chevrolet","Civic",2012,28865,0.124313596,3588.31,1,1,0
"2/23/2022",2,23,"John Newton","Amy Burns","Honda","Corolla",2012,25187,0.08328041,2097.58,1,1,0
"9/8/2022",9,8,"Kristen Martinez","Adrian Miller","Chevrolet","Corolla",2022,45561,0.116254342,5296.66,1,1,0
"6/9/2022",6,9,"Kimberly Maldonado","Jesse Walker","Chevrolet","F-150",2014,15751,0.102110742,1608.35,1,1,0
"6/1/2022",6,1,"Tara Hubbard","Seth Horne","Nissan","Silverado",2016,24664,0.124724337,3076.2,1,1,0
"5/24/2022",5,24,"Heather Davidson","Zachary Freeman","Toyota","Civic",2012,46092,0.079424325,3660.83,1,1,0
"9/23/2022",9,23,"Betty Young","Christopher Cruz","Toyota","Corolla",2014,32968,0.118714078,3913.77,1,1,0
"6/13/2022",6,13,"Chad Davis","Michael Smith","Ford","Corolla",2011,13261,0.124442405,1650.23,1,1,0
"2/14/2022",2,14,"Lauren Hernandez","Mary Perry","Chevrolet","Corolla",2019,45162,0.133706822,6038.47,1,1,0
"3/16/2022",3,16,"David Diaz","Audrey Gomez","Honda","Civic",2018,28160,0.092253837,2597.87,1,1,0
"4/4/2022",4,4,"Brian Moran","Sarah Watkins","Ford","Civic",2013,45334,0.136882742,6205.44,1,1,0
"9/21/2022",9,21,"Amanda Butler","Brent Mays","Toyota","Altima",2013,24034,0.091313069,2194.62,1,1,0
"6/23/2022",6,23,"Jacob Bishop","Phillip Cox","Toyota","Altima",2022,18209,0.0972776,1771.33,1,1,0
"6/4/2022",6,4,"William Daniel","Jamie Smith","Honda","Corolla",2015,23255,0.054744915,1273.09,1,1,0
"12/2/2022",12,2,"John Newton","Chase Oneill","Ford","Corolla",2022,17038,0.081520369,1388.94,1,1,0
"1/23/2022",1,23,"Kristen Martinez","John Goodwin","Ford","Altima",2020,25964,0.098218645,2550.15,1,1,0
"3/13/2022",3,13,"Kimberly Maldonado","James Turner","Nissan","F-150",2016,10872,0.109546904,1190.99,1,1,0
"12/31/2022",12,31,"Jacob Bishop","Mary Wong","Toyota","Silverado",2018,17650,0.105740363,1866.32,1,1,0
"12/29/2022",12,29,"Michael Walton","Christopher Alexander","Ford","Civic",2013,25256,0.055620882,1404.76,6,6,0
"4/16/2022",4,16,"John Newton","Thomas Blankenship","Chevrolet","Altima",2014,31462,0.103951021,3270.51,1,1,0
"10/16/2022",10,16,"Kristen Martinez","Leslie Shepherd","Ford","Civic",2020,12512,0.111586664,1396.17,1,1,0
"10/18/2022",10,18,"Kimberly Maldonado","Peter Cole","Toyota","Altima",2012,34884,0.066475198,2318.92,6,1,1
"5/14/2022",5,14,"Tara Hubbard","Ronald Sullivan","Toyota","Altima",2020,18818,0.055006177,1035.11,1,1,0
"10/6/2022",10,6,"Heather Davidson","Erika Davis","Ford","F-150",2022,28645,0.102481658,2935.59,1,1,0
"1/27/2022",1,27,"Betty Young","Catherine Ortega","Nissan","Silverado",2011,35883,0.141968814,5094.27,1,1,0
"4/5/2022",4,5,"Chad Davis","Adrian Parker","Ford","Silverado",2014,44008,0.085446035,3760.31,1,1,0
"12/9/2022",12,9,"Lauren Hernandez","Kelly Tran","Ford","Civic",2012,30782,0.054496153,1677.5,1,1,0
"10/10/2022",10,10,"David Diaz","Dawn Bell","Ford","Silverado",2014,20145,0.10166231,2047.99,1,1,0
"10/26/2022",10,26,"Brian Moran","Brianna Henderson","Nissan","Altima",2019,11849,0.117263528,1389.46,1,1,0
"12/24/2022",12,24,"Amanda Butler","Eric Edwards","Ford","F-150",2011,45422,0.143051189,6497.67,1,1,0
"3/21/2022",3,21,"Jacob Bishop","Frances Castillo","Honda","Corolla",2016,17047,0.126456915,2155.71,1,1,0
"11/20/2022",11,20,"William Brock","Mike Harris","Ford","Corolla",2021,22547,0.127145054,2866.74,1,1,0
"7/18/2022",7,18,"John Newton","Madeline Mosley","Ford","Civic",2021,45789,0.124917189,5719.83,1,1,0
"3/14/2022",3,14,"Kristen Martinez","Joshua Brown","Honda","F-150",2012,23467,0.145472178,3413.8,1,1,0
"8/17/2022",8,17,"Kimberly Maldonado","Jason Hernandez","Toyota","F-150",2010,18895,0.061012214,1152.83,3,3,0
"2/21/2022",2,21,"Tara Hubbard","Richard Warner","Ford","F-150",2016,36774,0.147160169,5411.67,1,1,0
"5/29/2022",5,29,"Jacob Bishop","Eric Durham","Nissan","F-150",2020,22348,0.077804785,1738.78,1,1,0
"7/5/2022",7,5,"Michael Walton","Dustin Taylor","Chevrolet","Civic",2016,45924,0.076383844,3507.85,1,1,0
"7/17/2022",7,17,"John Newton","Katherine Henry","Nissan","Silverado",2010,13970,0.083736968,1169.81,1,1,0
"12/14/2022",12,14,"Kristen Martinez","Elizabeth Jimenez","Chevrolet","Silverado",2013,31606,0.117649959,3718.44,1,1,0
"8/11/2022",8,11,"Kimberly Maldonado","Carl Maldonado","Ford","Corolla",2021,39594,0.099849612,3953.45,1,1,0
"5/1/2022",5,1,"Tara Hubbard","Holly Jones","Nissan","F-150",2022,42275,0.125680852,5313.16,1,1,0
"1/6/2022",1,6,"Heather Davidson","Joseph Sutton","Toyota","Corolla",2016,23193,0.120210117,2788.03,1,1,0
"4/27/2022",4,27,"Betty Young","Anna Owen","Honda","Altima",2017,29381,0.121837894,3579.72,1,1,0
"10/19/2022",10,19,"Chad Davis","Karen Rogers","Chevrolet","F-150",2010,25731,0.08813935,2267.91,1,1,0
"6/27/2022",6,27,"Lauren Hernandez","Lisa Harding","Ford","F-150",2015,25131,0.136002949,3417.89,1,1,0
"5/12/2022",5,12,"David Diaz","Sarah Martin","Nissan","Civic",2012,39840,0.113438639,4519.4,1,1,0
"8/8/2022",8,8,"Brian Moran","Blake Barrera","Ford","Civic",2016,24820,0.104056719,2582.69,1,1,0
"6/28/2022",6,28,"Amanda Butler","Jesse Miller","Toyota","Civic",2019,47484,0.114145803,5420.1,12,11,0
"7/16/2022",7,16,"Jacob Bishop","Nicholas Thomas","Nissan","F-150",2022,26704,0.131921532,3522.83,1,1,0
"5/28/2022",5,28,"Kristen Martinez","Lisa Robinson","Chevrolet","Altima",2012,19875,0.103349339,2054.07,1,1,0
"12/11/2022",12,11,"Kimberly Maldonado","Jennifer Williams","Ford","Altima",2019,41513,0.05081388,2109.44,1,1,0
"4/1/2022",4,1,"Jacob Bishop","Kenneth Hernandez","Ford","Corolla",2014,33780,0.111545184,3768,1,1,0
"4/7/2022",4,7,"Michael Walton","Alejandra Olson","Toyota","Altima",2014,15008,0.056183241,843.2,1,1,0
"4/15/2022",4,15,"John Newton","Mary Nielsen","Ford","Corolla",2021,13143,0.140933003,1852.28,1,1,0
"4/19/2022",4,19,"Kristen Martinez","Cody Benton","Toyota","Civic",2018,26323,0.09552041,2514.38,1,1,0
"9/27/2022",9,27,"Kimberly Maldonado","Christopher Morris","Nissan","Civic",2015,39057,0.109205515,4265.24,1,1,0
"9/26/2022",9,26,"Tara Hubbard","Rebecca Boone","Ford","Altima",2012,11738,0.089704866,1052.96,1,1,0
"1/24/2022",1,24,"Heather Davidson","Gary Rowland","Honda","Silverado",2020,48705,0.145584806,7090.71,1,1,0
"5/21/2022",5,21,"Betty Young","Kathleen Stone","Chevrolet","Civic",2012,20812,0.107514484,2237.59,1,1,0
"5/12/2022",5,12,"Chad Davis","Patricia Serrano","Toyota","Silverado",2016,44286,0.092961589,4116.9,1,1,0
"8/9/2022",8,9,"Lauren Hernandez","Daniel Carpenter","Toyota","Civic",2014,22149,0.063746566,1411.92,1,1,0
"8/14/2022",8,14,"David Diaz","David Peck","Chevrolet","Civic",2013,47797,0.118523106,5665.05,1,1,0
"3/13/2022",3,13,"Brian Moran","Robert Shaw","Ford","Silverado",2012,32458,0.12279629,3985.72,1,1,0
"1/12/2022",1,12,"Amanda Butler","William Weber","Nissan","Altima",2020,45815,0.056991191,2611.05,1,1,0
"10/7/2022",10,7,"Jacob Bishop","Benjamin Wilson","Chevrolet","Corolla",2020,18832,0.148850934,2803.16,1,1,0
"8/22/2022",8,22,"Heather Romero","Mark Olson","Ford","F-150",2017,34044,0.077203345,2628.31,1,1,0
"7/11/2022",7,11,"Daniel Richmond","Tiffany Arnold","Ford","Corolla",2013,14767,0.10428729,1540.01,1,1,0
"7/31/2022",7,31,"William Taylor","Meredith Gomez","Honda","F-150",2012,49209,0.102078921,5023.2,1,1,0
"12/31/2022",12,31,"Matthew Brown","Christina Holmes","Honda","Silverado",2021,12075,0.146471317,1768.64,1,1,0
"7/18/2022",7,18,"John Newton","Diana Brown","Nissan","Altima",2017,32176,0.083234192,2678.14,1,1,0
"9/21/2022",9,21,"Kristen Martinez","Eric Tucker","Honda","F-150",2011,21038,0.086813165,1826.38,1,1,0
"6/8/2022",6,8,"Kimberly Maldonado","Krista Walters","Chevrolet","F-150",2016,22274,0.112182648,2498.76,1,1,0
"7/17/2022",7,17,"Jacob Bishop","Gregory Phillips Jr.","Chevrolet","Silverado",2020,36523,0.147075072,5371.62,1,1,0
"5/2/2022",5,2,"Michael Walton","Pamela Sullivan","Ford","Altima",2018,48314,0.146809718,7092.96,1,1,0
"10/12/2022",10,12,"John Newton","Angela Dudley","Honda","Altima",2012,29868,0.14301544,4271.59,1,1,0
"5/17/2022",5,17,"Kristen Martinez","Rachel Dillon","Toyota","Civic",2020,48964,0.07435728,3640.83,3,3,0
"6/7/2022",6,7,"Kimberly Maldonado","Crystal Davis","Nissan","Silverado",2012,40470,0.130053016,5263.25,1,1,0
"8/13/2022",8,13,"Tara Hubbard","Joseph James","Honda","F-150",2019,47642,0.117699152,5607.42,1,1,0
"4/28/2022",4,28,"Heather Davidson","Cameron James","Honda","F-150",2022,17640,0.130832234,2307.88,1,1,0
"7/25/2022",7,25,"Betty Young","Heather Heath","Chevrolet","Silverado",2018,34309,0.1103584,3786.29,1,1,0
"8/21/2022",8,21,"Chad Davis","James Perkins","Ford","Silverado",2021,34050,0.121878997,4149.98,1,1,0
"3/31/2022",3,31,"Lauren Hernandez","Leslie Kim","Ford","Civic",2013,19851,0.077311844,1534.72,1,1,0
"10/14/2022",10,14,"David Diaz","Henry King","Honda","Corolla",2014,33518,0.104796131,3512.56,1,1,0
"6/6/2022",6,6,"Brian Moran","Jacqueline Ortiz","Ford","Civic",2022,15157,0.121927639,1848.06,1,1,0
"6/25/2022",6,25,"Amanda Butler","Joseph Pierce","Ford","F-150",2014,17214,0.104834814,1804.63,1,1,0
"5/12/2022",5,12,"Jacob Bishop","Caroline Cooley","Toyota","Altima",2019,20221,0.052301444,1058.11,1,1,0
"6/23/2022",6,23,"Miss Angela Evans","Kathy Shelton","Ford","F-150",2015,22516,0.074530461,1678.13,1,1,0
"6/28/2022",6,28,"Thomas Bass","Douglas Roach","Nissan","Corolla",2021,48317,0.137544482,6645.74,1,1,0
"5/30/2022",5,30,"Jacob Bishop","Kristin Hall","Chevrolet","Corolla",2011,27734,0.143140179,3969.85,1,1,0
"9/15/2022",9,15,"Michael Walton","Kevin Williams","Ford","Corolla",2010,32473,0.062606618,2033.02,1,1,0
"8/17/2022",8,17,"John Newton","Shaun Brown","Toyota","F-150",2013,25708,0.105906256,2722.64,1,1,0
"7/7/2022",7,7,"Kristen Martinez","Mariah Lee","Ford","Silverado",2016,39844,0.066639078,2655.17,1,1,0
"5/3/2022",5,3,"Kimberly Maldonado","Jason Davis","Ford","Corolla",2020,34365,0.076107368,2615.43,1,1,0
"9/26/2022",9,26,"Tara Hubbard","Mrs. Michele Edwards","Nissan","F-150",2010,41626,0.118691638,4940.66,1,1,0
"9/2/2022",9,2,"Heather Davidson","Michael Moore","Chevrolet","Altima",2012,37275,0.063283803,2358.9,1,1,0
"12/18/2022",12,18,"Betty Young","William Wilkerson","Ford","Altima",2018,15427,0.080783407,1246.25,1,1,0
"5/28/2022",5,28,"Chad Davis","Sara King","Honda","Silverado",2018,22897,0.078824478,1804.84,1,1,0
"3/27/2022",3,27,"Lauren Hernandez","George Sanchez","Ford","Altima",2021,33210,0.081960773,2721.92,1,1,0
"12/24/2022",12,24,"David Diaz","Nicole Vargas","Honda","F-150",2015,38133,0.099197702,3782.71,1,1,0
"9/12/2022",9,12,"Brian Moran","Kevin Nguyen","Honda","F-150",2014,49261,0.105238885,5184.17,1,1,0
"9/5/2022",9,5,"Amanda Butler","Christina Roberts","Ford","Altima",2016,13572,0.069062806,937.32,1,1,0
"1/22/2022",1,22,"Jacob Bishop","Tammy Cain","Ford","Civic",2019,20795,0.121036794,2516.96,1,1,0
"9/28/2022",9,28,"Gordon Rhodes","Jessica Washington","Ford","Corolla",2018,32490,0.070217941,2281.38,12,9,0
"2/19/2022",2,19,"Jacob Bishop","Jesse Snow","Toyota","F-150",2016,16150,0.108056752,1745.12,1,1,0
"10/22/2022",10,22,"Michael Walton","Antonio Estrada","Ford","Silverado",2011,27218,0.053590363,1458.62,1,1,0
"8/6/2022",8,6,"John Newton","Jonathan Chaney","Honda","F-150",2021,28765,0.064203076,1846.8,1,1,0
"2/4/2022",2,4,"Kristen Martinez","Johnathan Ramos","Chevrolet","F-150",2020,48884,0.063095077,3084.34,1,1,0
"1/24/2022",1,24,"Kimberly Maldonado","Andrew Hudson","Nissan","Corolla",2020,42405,0.097317108,4126.73,1,1,0
"4/25/2022",4,25,"Tara Hubbard","Jeremy Spence","Toyota","Silverado",2017,39713,0.075985648,3017.62,1,1,0
"5/12/2022",5,12,"Heather Davidson","Jesse Wilson","Ford","Altima",2016,29570,0.146614185,4335.38,1,1,0
"2/4/2022",2,4,"Betty Young","Casey Stone","Chevrolet","Silverado",2011,39825,0.097734318,3892.27,1,1,0
"8/8/2022",8,8,"Chad Davis","Anna Diaz","Chevrolet","Silverado",2016,27785,0.139969404,3889.05,1,1,0
"10/30/2022",10,30,"Lauren Hernandez","Chad Brown","Honda","Silverado",2022,39291,0.08776658,3448.44,1,1,0
"12/5/2022",12,5,"David Diaz","William Lynn","Nissan","Civic",2020,45878,0.117678953,5398.88,1,1,0
"6/17/2022",6,17,"Brian Moran","Benjamin Robertson","Toyota","F-150",2015,26838,0.058580988,1572.2,1,1,0
"9/29/2022",9,29,"Amanda Butler","Brandon Turner","Chevrolet","Altima",2011,46924,0.111066688,5211.69,1,1,0
"3/21/2022",3,21,"Jacob Bishop","Michael Whitaker","Ford","Corolla",2020,47651,0.054327131,2588.74,1,1,0
"9/22/2022",9,22,"Jacob Bishop","Cynthia Jones","Nissan","Corolla",2013,14458,0.115309918,1667.15,1,1,0
"12/27/2022",12,27,"Michael Walton","Kyle Stanley","Chevrolet","Corolla",2017,30993,0.147862009,4582.69,1,1,0
"9/19/2022",9,19,"John Newton","Dennis Camacho","Chevrolet","F-150",2014,15844,0.066035232,1046.26,1,1,0
"7/17/2022",7,17,"Kristen Martinez","Jordan Bell","Toyota","Silverado",2014,36828,0.131398555,4839.15,1,1,0
"8/6/2022",8,6,"Kimberly Maldonado","Stephanie Carter","Toyota","Altima",2022,30713,0.113225416,3477.49,1,1,0
"9/9/2022",9,9,"Tara Hubbard","Christopher Perry","Chevrolet","F-150",2015,44518,0.130531497,5811,1,1,0
"3/26/2022",3,26,"Heather Davidson","Tracy Vaughn","Toyota","Corolla",2011,43592,0.099287469,4328.14,1,1,0
"1/18/2022",1,18,"Betty Young","Stephanie Jones","Honda","Altima",2010,19474,0.114695954,2233.59,1,1,0
"7/2/2022",7,2,"Chad Davis","Karen Roth","Ford","F-150",2013,41322,0.063977921,2643.7,1,1,0
"11/16/2022",11,16,"Lauren Hernandez","Aaron Medina","Toyota","Civic",2014,23582,0.147095768,3468.81,1,1,0
"1/6/2022",1,6,"David Diaz","Mckenzie Zavala","Ford","Silverado",2020,22648,0.063995444,1449.37,1,1,0
"5/11/2022",5,11,"Brian Moran","Katherine Henderson","Honda","Altima",2010,37699,0.106638356,4020.16,1,1,0
"2/3/2022",2,3,"Amanda Butler","Julie Jones","Nissan","Altima",2014,33157,0.133331383,4420.87,1,1,0
"5/30/2022",5,30,"Jacob Bishop","Erin King","Nissan","Corolla",2021,28204,0.105018945,2961.95,1,1,0
"6/18/2022",6,18,"Erika Simpson","Loretta Diaz","Nissan","Altima",2022,42530,0.082907657,3526.06,1,1,0
"7/19/2022",7,19,"Bonnie Moore","Dustin Lopez","Nissan","F-150",2021,23810,0.117015964,2786.15,1,1,0
"7/1/2022",7,1,"Jacob Bishop","Curtis Leonard","Honda","Civic",2016,42672,0.123137887,5254.54,1,1,0
"1/5/2022",1,5,"Michael Walton","Natalie Larson","Honda","Civic",2021,18067,0.13397473,2420.52,1,1,0
"6/8/2022",6,8,"John Newton","Matthew Guzman","Chevrolet","Corolla",2013,29710,0.086331454,2564.91,1,1,0
"9/23/2022",9,23,"Kristen Martinez","Grant Lane","Honda","Altima",2013,30154,0.091494419,2758.92,1,1,0
"11/13/2022",11,13,"Kimberly Maldonado","Jessica Wilson","Toyota","Corolla",2013,34377,0.078920147,2713.04,1,1,0
"6/19/2022",6,19,"Tara Hubbard","Raymond Hinton","Honda","Altima",2018,13827,0.062681812,866.7,1,1,0
"12/2/2022",12,2,"Heather Davidson","Rebecca Rasmussen","Nissan","Civic",2018,21151,0.071833004,1519.34,1,1,0
"5/26/2022",5,26,"Betty Young","Angela Santos","Nissan","Silverado",2012,12403,0.083677882,1037.86,1,1,0
"4/19/2022",4,19,"Chad Davis","Jessica Collins MD","Ford","Corolla",2020,39479,0.103362388,4080.64,1,1,0
"1/11/2022",1,11,"Lauren Hernandez","Shane Wilson","Chevrolet","Corolla",2020,42351,0.059670817,2527.12,1,1,0
"9/17/2022",9,17,"David Diaz","Zachary Reese","Toyota","Silverado",2011,13112,0.092264679,1209.77,1,1,0
